CVE_ID,Patch_commit,cve_func,oss_name,need_Oldest_version,need_Latest_version,patch_version
CVE-2016-2177,a004e72b95835136d3f1ea90517f706c24c03da7,ssl_get_prev_session,openssl,openssl:1.0.1,openssl:1.0.1t,openssl:1.0.1u
CVE-2016-2177,a004e72b95835136d3f1ea90517f706c24c03da7,ssl_check_for_safari,openssl,openssl:1.0.1,openssl:1.0.1t,openssl:1.0.1u
CVE-2016-2177,a004e72b95835136d3f1ea90517f706c24c03da7,ssl_scan_clienthello_custom_tlsext,openssl,openssl:1.0.1,openssl:1.0.1t,openssl:1.0.1u
CVE-2016-2177,a004e72b95835136d3f1ea90517f706c24c03da7,ssl_scan_clienthello_tlsext,openssl,openssl:1.0.1,openssl:1.0.1t,openssl:1.0.1u
CVE-2016-2177,a004e72b95835136d3f1ea90517f706c24c03da7,ssl_scan_serverhello_tlsext,openssl,openssl:1.0.1,openssl:1.0.1t,openssl:1.0.1u
CVE-2016-2177,a004e72b95835136d3f1ea90517f706c24c03da7,tls1_process_ticket,openssl,openssl:1.0.1,openssl:1.0.1t,openssl:1.0.1u
CVE-2016-2177,a004e72b95835136d3f1ea90517f706c24c03da7,ssl3_get_client_hello,openssl,openssl:1.0.2,openssl:1.0.2h,openssl:1.0.2i
CVE-2016-2177,a004e72b95835136d3f1ea90517f706c24c03da7,ssl_get_prev_session,openssl,openssl:1.0.2,openssl:1.0.2h,openssl:1.0.2i
CVE-2016-2177,a004e72b95835136d3f1ea90517f706c24c03da7,ssl_check_for_safari,openssl,openssl:1.0.2,openssl:1.0.2h,openssl:1.0.2i
CVE-2016-2177,a004e72b95835136d3f1ea90517f706c24c03da7,ssl_scan_clienthello_custom_tlsext,openssl,openssl:1.0.2,openssl:1.0.2h,openssl:1.0.2i
CVE-2016-2177,a004e72b95835136d3f1ea90517f706c24c03da7,ssl_scan_clienthello_tlsext,openssl,openssl:1.0.2,openssl:1.0.2h,openssl:1.0.2i
CVE-2016-2177,a004e72b95835136d3f1ea90517f706c24c03da7,ssl_scan_serverhello_tlsext,openssl,openssl:1.0.2,openssl:1.0.2h,openssl:1.0.2i
CVE-2016-2177,a004e72b95835136d3f1ea90517f706c24c03da7,tls1_process_ticket,openssl,openssl:1.0.2,openssl:1.0.2h,openssl:1.0.2i
CVE-2016-2179,f5c7f5dfbaf0d2f7d946d0fe86f08e6bcb36ed0d,dtls1_clear_queues,openssl,openssl:1.0.1,openssl:1.0.1t,openssl:1.0.1u
CVE-2016-2179,f5c7f5dfbaf0d2f7d946d0fe86f08e6bcb36ed0d,dtls1_clear_received_buffer,openssl,openssl:1.0.1,openssl:1.0.1t,openssl:1.0.1u
CVE-2016-2179,f5c7f5dfbaf0d2f7d946d0fe86f08e6bcb36ed0d,dtls1_clear_sent_buffer,openssl,openssl:1.0.1,openssl:1.0.1t,openssl:1.0.1u
CVE-2016-2179,f5c7f5dfbaf0d2f7d946d0fe86f08e6bcb36ed0d,dtls1_stop_timer,openssl,openssl:1.0.1,openssl:1.0.1t,openssl:1.0.1u
CVE-2016-2179,f5c7f5dfbaf0d2f7d946d0fe86f08e6bcb36ed0d,dtls1_retrieve_buffered_fragment,openssl,openssl:1.0.1,openssl:1.0.1t,openssl:1.0.1u
CVE-2016-2179,f5c7f5dfbaf0d2f7d946d0fe86f08e6bcb36ed0d,tls_finish_handshake,openssl,openssl:1.0.1,openssl:1.0.1t,openssl:1.0.1u
CVE-2016-2179,f5c7f5dfbaf0d2f7d946d0fe86f08e6bcb36ed0d,ossl_statem_server_pre_work,openssl,openssl:1.0.1,openssl:1.0.1t,openssl:1.0.1u
CVE-2016-2179,f5c7f5dfbaf0d2f7d946d0fe86f08e6bcb36ed0d,dtls1_clear_queues,openssl,openssl:1.0.2,openssl:1.0.2h,openssl:1.0.2i
CVE-2016-2179,f5c7f5dfbaf0d2f7d946d0fe86f08e6bcb36ed0d,dtls1_clear_received_buffer,openssl,openssl:1.0.2,openssl:1.0.2h,openssl:1.0.2i
CVE-2016-2179,f5c7f5dfbaf0d2f7d946d0fe86f08e6bcb36ed0d,dtls1_clear_sent_buffer,openssl,openssl:1.0.2,openssl:1.0.2h,openssl:1.0.2i
CVE-2016-2179,f5c7f5dfbaf0d2f7d946d0fe86f08e6bcb36ed0d,dtls1_stop_timer,openssl,openssl:1.0.2,openssl:1.0.2h,openssl:1.0.2i
CVE-2016-2179,f5c7f5dfbaf0d2f7d946d0fe86f08e6bcb36ed0d,dtls1_retrieve_buffered_fragment,openssl,openssl:1.0.2,openssl:1.0.2h,openssl:1.0.2i
CVE-2016-2179,f5c7f5dfbaf0d2f7d946d0fe86f08e6bcb36ed0d,tls_finish_handshake,openssl,openssl:1.0.2,openssl:1.0.2h,openssl:1.0.2i
CVE-2016-2179,f5c7f5dfbaf0d2f7d946d0fe86f08e6bcb36ed0d,ossl_statem_server_pre_work,openssl,openssl:1.0.2,openssl:1.0.2h,openssl:1.0.2i
CVE-2016-2180,0ed26acce328ec16a3aa635f1ca37365e8c7403a,TS_OBJ_print_bio,openssl,openssl:1.0.1,openssl:1.0.2h,openssl:1.0.2i
CVE-2016-2182,07bed46f332fce8c1d157689a2cdf915a982ae34,BN_bn2dec,openssl,openssl:1.0.1,openssl:1.0.1t,openssl:1.0.1u
CVE-2016-2182,07bed46f332fce8c1d157689a2cdf915a982ae34,BN_bn2dec,openssl,openssl:1.0.2,openssl:1.0.2h,openssl:1.0.2i
CVE-2016-4447,00906759053986b8079985644172085f74331f83,xmlParseConditionalSections,libxml2,libxml2:1.8.5,libxml2:2.9.3,libxml2:2.9.4
CVE-2016-4447,00906759053986b8079985644172085f74331f83,xmlParseElementDecl,libxml2,libxml2:1.8.5,libxml2:2.9.3,libxml2:2.9.4
CVE-2016-4483,c97750d11bb8b6f3303e7131fe526a61ac65bcfd,xmlBufAttrSerializeTxtContent,libxml2,libxml2:2.9.0,libxml2:2.9.3,libxml2:2.9.4
CVE-2016-4658,c1d1f7121194036608bf555f08d3062a36fd344b,xmlXPtrNewCollapsedRange,libxml2,libxml2:2.3.0,libxml2:2.9.4,libxml2:2.9.5
CVE-2016-4658,c1d1f7121194036608bf555f08d3062a36fd344b,xmlXPtrNewRange,libxml2,libxml2:2.3.0,libxml2:2.9.4,libxml2:2.9.5
CVE-2016-4658,c1d1f7121194036608bf555f08d3062a36fd344b,xmlXPtrNewRangeInternal,libxml2,libxml2:2.3.0,libxml2:2.9.4,libxml2:2.9.5
CVE-2016-4658,c1d1f7121194036608bf555f08d3062a36fd344b,xmlXPtrNewRangeNodeObject,libxml2,libxml2:2.3.0,libxml2:2.9.4,libxml2:2.9.5
CVE-2016-4658,c1d1f7121194036608bf555f08d3062a36fd344b,xmlXPtrNewRangeNodePoint,libxml2,libxml2:2.3.0,libxml2:2.9.4,libxml2:2.9.5
CVE-2016-4658,c1d1f7121194036608bf555f08d3062a36fd344b,xmlXPtrNewRangeNodes,libxml2,libxml2:2.3.0,libxml2:2.9.4,libxml2:2.9.5
CVE-2016-4658,c1d1f7121194036608bf555f08d3062a36fd344b,xmlXPtrNewRangePointNode,libxml2,libxml2:2.3.0,libxml2:2.9.4,libxml2:2.9.5
CVE-2016-4658,c1d1f7121194036608bf555f08d3062a36fd344b,xmlXPtrNewRangePoints,libxml2,libxml2:2.3.0,libxml2:2.9.4,libxml2:2.9.5
CVE-2016-6302,e97763c92c655dcf4af2860b3abd2bc4c8a267f9,tls_decrypt_ticket,openssl,openssl:1.0.1,openssl:1.0.2h,openssl:1.0.2i
CVE-2016-6303,55d83bf7c10c7b205fffa23fa7c3977491e56c07,MDC2_Update,openssl,openssl:1.0.2,openssl:1.0.2h,openssl:1.0.2i
CVE-2016-6303,55d83bf7c10c7b205fffa23fa7c3977491e56c07,MDC2_Update,openssl,openssl:1.0.1,openssl:1.0.1t,openssl:1.0.1u
CVE-2016-6304,2c0d295e26306e15a92eb23a84a1802005c1c137,ssl_parse_clienthello_tlsext,openssl,openssl:1.0.2,openssl:1.0.1t,openssl:1.0.1u
CVE-2016-6306,52e623c4cb06fffa9d5e75c60b34b4bc130b12e9,ssl3_get_certificate_request,openssl,openssl:1.0.1,openssl:1.0.1t,openssl:1.0.1u
CVE-2016-6306,52e623c4cb06fffa9d5e75c60b34b4bc130b12e9,ssl3_get_server_certificate,openssl,openssl:1.0.1,openssl:1.0.1t,openssl:1.0.1u
CVE-2016-6306,52e623c4cb06fffa9d5e75c60b34b4bc130b12e9,ssl3_get_client_certificate,openssl,openssl:1.0.1,openssl:1.0.1t,openssl:1.0.1u
CVE-2016-6306,52e623c4cb06fffa9d5e75c60b34b4bc130b12e9,ssl3_get_certificate_request,openssl,openssl:1.0.2,openssl:1.0.2h,openssl:1.0.2i
CVE-2016-6306,52e623c4cb06fffa9d5e75c60b34b4bc130b12e9,ssl3_get_server_certificate,openssl,openssl:1.0.2,openssl:1.0.2h,openssl:1.0.2i
CVE-2016-6306,52e623c4cb06fffa9d5e75c60b34b4bc130b12e9,ssl3_get_client_certificate,openssl,openssl:1.0.2,openssl:1.0.2h,openssl:1.0.2i
CVE-2017-12895,2b62d1dda41590db29368ec7ba5f4faf3464765a,icmp_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-12896,f76e7feb41a4327d2b0978449bbdafe98d4a3771,isakmp_rfc3948_print,tcpdump,tcpdump:3.9.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-12990,c2ef693866beae071a24b45c49f9674af1df4028,ikev1_n_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-12990,c2ef693866beae071a24b45c49f9674af1df4028,ikev1_nonce_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-12990,c2ef693866beae071a24b45c49f9674af1df4028,ikev2_auth_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-12990,c2ef693866beae071a24b45c49f9674af1df4028,ikev2_n_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-12991,50a44b6b8e4f7c127440dbd4239cf571945cc1e7,bgp_attr_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-12992,e942fb84fbe3a73a98a00d2a279425872b5fb9d2,ripng_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-12993,b534e304568585707c4a92422aeca25cf908ff02,juniper_atm1_print,tcpdump,tcpdump:3.9.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-12993,b534e304568585707c4a92422aeca25cf908ff02,juniper_atm2_print,tcpdump,tcpdump:3.9.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-12993,b534e304568585707c4a92422aeca25cf908ff02,juniper_es_print,tcpdump,tcpdump:3.9.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-12993,b534e304568585707c4a92422aeca25cf908ff02,juniper_ggsn_print,tcpdump,tcpdump:3.9.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-12993,b534e304568585707c4a92422aeca25cf908ff02,juniper_monitor_print,tcpdump,tcpdump:3.9.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-12993,b534e304568585707c4a92422aeca25cf908ff02,juniper_parse_header,tcpdump,tcpdump:3.9.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-12993,b534e304568585707c4a92422aeca25cf908ff02,juniper_pppoe_atm_print,tcpdump,tcpdump:3.9.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-12993,b534e304568585707c4a92422aeca25cf908ff02,juniper_services_print,tcpdump,tcpdump:3.9.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13000,"8512734883227c11568bb35da1d48b9f8466f43f
9be4e0b5938b705e7e36cfcb110a740c6ff0cb97
a7e5f58f402e6919ec444a57946bade7dfd6b184",ieee802_15_4_if_print,tcpdump,tcpdump:4.6.0,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13002,cbddb98484ea8ec1deece351abd56e063d775b38,aodv_extension,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13007,ca336198e8bebccc18502de27672fdbd6eb34856,pktap_if_print,tcpdump,tcpdump:4.6.0,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13012,8509ef02eceb2bbb479cea10fe4a7ec6395f1a8b,icmp_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13013,13ab8d18617d616c7d343530f8a842e7143fb5cc,arp_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13013,13ab8d18617d616c7d343530f8a842e7143fb5cc,atmarp_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13013,13ab8d18617d616c7d343530f8a842e7143fb5cc,atmarp_spaddr_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13013,13ab8d18617d616c7d343530f8a842e7143fb5cc,atmarp_tpaddr_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13013,13ab8d18617d616c7d343530f8a842e7143fb5cc,spaddr_print_ip,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13013,13ab8d18617d616c7d343530f8a842e7143fb5cc,tpaddr_print_ip,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13019,4601c685e7fd19c3724d5e499c69b8d3ec49933e,pgm_print,tcpdump,tcpdump:3.9.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13028,29e5470e6ab84badbc31f4532bb7554a796d9d52,bootp_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13029,7029d15f148ef24bb7c6668bc640f5470d085e5a,print_bacp_config_options,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13029,7029d15f148ef24bb7c6668bc640f5470d085e5a,print_ccp_config_options,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13029,7029d15f148ef24bb7c6668bc640f5470d085e5a,print_ipcp_config_options,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13029,7029d15f148ef24bb7c6668bc640f5470d085e5a,print_lcp_config_options,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13030,5dc1860d8267b1e0cb78c9ffa2a40bea2fdb3ddc,cisco_autorp_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13030,5dc1860d8267b1e0cb78c9ffa2a40bea2fdb3ddc,pim_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13030,5dc1860d8267b1e0cb78c9ffa2a40bea2fdb3ddc,pimv1_join_prune_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13030,5dc1860d8267b1e0cb78c9ffa2a40bea2fdb3ddc,pimv1_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13030,5dc1860d8267b1e0cb78c9ffa2a40bea2fdb3ddc,pimv2_addr_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13030,5dc1860d8267b1e0cb78c9ffa2a40bea2fdb3ddc,pimv2_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13031,2d669862df7cd17f539129049f6fb70d17174125,frag6_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13039,e0a5a02b0fc1900a69d6c37ed0aab36fb8494e6d,ikev1_attr_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13039,e0a5a02b0fc1900a69d6c37ed0aab36fb8494e6d,ikev1_attrmap_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13039,e0a5a02b0fc1900a69d6c37ed0aab36fb8494e6d,ikev1_n_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13039,e0a5a02b0fc1900a69d6c37ed0aab36fb8494e6d,ikev1_t_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13039,e0a5a02b0fc1900a69d6c37ed0aab36fb8494e6d,ikev2_t_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13040,4c3aee4bb0294c232d56b6d34e9eeb74f630fe8c,mp_capable_print,tcpdump,tcpdump:4.5.0,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13040,4c3aee4bb0294c232d56b6d34e9eeb74f630fe8c,mp_dss_print,tcpdump,tcpdump:4.5.0,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13040,4c3aee4bb0294c232d56b6d34e9eeb74f630fe8c,mp_join_print,tcpdump,tcpdump:4.5.0,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13049,aa0858100096a3490edf93034a80e66a4d61aad5,ubik_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13050,83c64fce3a5226b080e535f5131a8a318f30e79b,rpki_rtr_pdu_print,tcpdump,tcpdump:4.2.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13050,83c64fce3a5226b080e535f5131a8a318f30e79b,rpki_rtr_print,tcpdump,tcpdump:4.2.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13051,289c672020280529fd382f3502efab7100d638ec,rsvp_obj_print,tcpdump,tcpdump:3.9.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13052,5d340a5ca6e420a70297cdbdf777333f18bfdab7,cfm_network_addr_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13052,5d340a5ca6e420a70297cdbdf777333f18bfdab7,cfm_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13687,a1eefe986065846b6c69dbc09afd9fa1a02c4a3d,chdlc_if_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13687,a1eefe986065846b6c69dbc09afd9fa1a02c4a3d,chdlc_print,tcpdump,tcpdump:3.5.1,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13689,061e7371a944588f231cb1b66d6fb070b646e376,ikev1_id_print,tcpdump,tcpdump:4.0.0,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13690,8dca25d26c7ca2caf6138267f6f17111212c156e,ikev2_ID_print,tcpdump,tcpdump:4.0.0,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13690,8dca25d26c7ca2caf6138267f6f17111212c156e,ikev2_auth_print,tcpdump,tcpdump:4.0.0,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-13690,8dca25d26c7ca2caf6138267f6f17111212c156e,ikev2_ke_print,tcpdump,tcpdump:4.0.0,tcpdump:4.9.1,tcpdump:4.9.2
CVE-2017-7857,7bbb91fbf47fc0775cc9705673caf0c47a81f94b,sfnt_init_face,freetype,freetype:2.1.9,freetype:2.7.1,freetype:2.8
CVE-2017-7858,779309744222a736eba0f1731e8162fce6288d4e,sfnt_init_face,freetype,freetype:2.1.9,freetype:2.7.1,freetype:2.8
CVE-2017-8287,3774fc08b502c3e685afca098b6e8a195aded6a0,t1_builder_close_contour,freetype,freetype:2.1.3,freetype:2.7.1,freetype:2.8
CVE-2018-0732,"3984ef0b72831da8b3ece4745cac4f8575b19098
ea7abeeabf92b7aca160bdd0208636d4da69f4f4",generate_key,openssl,openssl:1.0.2,openssl:1.0.2o,openssl:1.0.2p
CVE-2018-0732,"3984ef0b72831da8b3ece4745cac4f8575b19098
ea7abeeabf92b7aca160bdd0208636d4da69f4f4",generate_key,openssl,openssl:1.1.0,openssl:1.1.0h,openssl:1.1.0i
CVE-2019-1563,"08229ad838c50f644d7e928e2eef147b4308ad64
631f94db0065c78181ca9ba5546ebc8bb3884b97
e21f8cf78a125cd3c8c0d1a1a6c8bb0b901f893f",cms_RecipientInfo_ktri_decrypt,openssl,openssl:1.0.2,openssl:1.0.2s,openssl:1.0.2t
CVE-2019-1563,"08229ad838c50f644d7e928e2eef147b4308ad64
631f94db0065c78181ca9ba5546ebc8bb3884b97
e21f8cf78a125cd3c8c0d1a1a6c8bb0b901f893f",CMS_decrypt,openssl,openssl:1.0.2,openssl:1.0.2s,openssl:1.0.2t
CVE-2019-1563,"08229ad838c50f644d7e928e2eef147b4308ad64
631f94db0065c78181ca9ba5546ebc8bb3884b97
e21f8cf78a125cd3c8c0d1a1a6c8bb0b901f893f",PKCS7_dataDecode,openssl,openssl:1.0.2,openssl:1.0.2s,openssl:1.0.2t
CVE-2019-1563,"08229ad838c50f644d7e928e2eef147b4308ad64
631f94db0065c78181ca9ba5546ebc8bb3884b97
e21f8cf78a125cd3c8c0d1a1a6c8bb0b901f893f",pkcs7_decrypt_rinfo,openssl,openssl:1.0.2,openssl:1.0.2s,openssl:1.0.2t
CVE-2019-1563,"08229ad838c50f644d7e928e2eef147b4308ad64
631f94db0065c78181ca9ba5546ebc8bb3884b97
e21f8cf78a125cd3c8c0d1a1a6c8bb0b901f893f",cms_RecipientInfo_ktri_decrypt,openssl,openssl:1.1.0,openssl:1.1.0k,openssl:1.1.0l
CVE-2019-1563,"08229ad838c50f644d7e928e2eef147b4308ad64
631f94db0065c78181ca9ba5546ebc8bb3884b97
e21f8cf78a125cd3c8c0d1a1a6c8bb0b901f893f",CMS_decrypt,openssl,openssl:1.1.0,openssl:1.1.0k,openssl:1.1.0l
CVE-2019-1563,"08229ad838c50f644d7e928e2eef147b4308ad64
631f94db0065c78181ca9ba5546ebc8bb3884b97
e21f8cf78a125cd3c8c0d1a1a6c8bb0b901f893f",PKCS7_dataDecode,openssl,openssl:1.1.0,openssl:1.1.0k,openssl:1.1.0l
CVE-2019-1563,"08229ad838c50f644d7e928e2eef147b4308ad64
631f94db0065c78181ca9ba5546ebc8bb3884b97
e21f8cf78a125cd3c8c0d1a1a6c8bb0b901f893f",pkcs7_decrypt_rinfo,openssl,openssl:1.1.0,openssl:1.1.0k,openssl:1.1.0l
CVE-2019-1563,"08229ad838c50f644d7e928e2eef147b4308ad64
631f94db0065c78181ca9ba5546ebc8bb3884b97
e21f8cf78a125cd3c8c0d1a1a6c8bb0b901f893f",cms_RecipientInfo_ktri_decrypt,openssl,openssl:1.1.1,openssl:1.1.1c,openssl:1.1.1d
CVE-2019-1563,"08229ad838c50f644d7e928e2eef147b4308ad64
631f94db0065c78181ca9ba5546ebc8bb3884b97
e21f8cf78a125cd3c8c0d1a1a6c8bb0b901f893f",CMS_decrypt,openssl,openssl:1.1.1,openssl:1.1.1c,openssl:1.1.1d
CVE-2019-1563,"08229ad838c50f644d7e928e2eef147b4308ad64
631f94db0065c78181ca9ba5546ebc8bb3884b97
e21f8cf78a125cd3c8c0d1a1a6c8bb0b901f893f",PKCS7_dataDecode,openssl,openssl:1.1.1,openssl:1.1.1c,openssl:1.1.1d
CVE-2019-1563,"08229ad838c50f644d7e928e2eef147b4308ad64
631f94db0065c78181ca9ba5546ebc8bb3884b97
e21f8cf78a125cd3c8c0d1a1a6c8bb0b901f893f",pkcs7_decrypt_rinfo,openssl,openssl:1.1.1,openssl:1.1.1c,openssl:1.1.1d
